GPS LATITUDE (degrees),GPS LONGITUDE (degrees),GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (°),GPS SATELLITES IN RANGE,TIME SINCE START (ms),DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE Yaw (rad/s),GYROSCOPE Pitch (rad/s),GYROSCOPE Roll (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION (Yaw) (°),ORIENTATION (Pitch) (°),ORIENTATION (Roll) (°)
,,,0.0,,,0,3,2026-09-19 18-23-35_333,0.05267244,0.19871874,9.813833,0.06429355,0.17005996,9.804964,0.006924219,-0.00958738,-5.326322E-4,40.33203,-42.382812,-242.77344,-132.3179945136932,-0.9936326219192861,-0.37569705969924705
,,,0.0,,,0,505,2026-09-19 18-23-35_835,0.08379706,0.19393034,9.904813,0.07423866,0.17932732,9.804729,0.0015978967,0.0,-0.0015978967,39.0625,-42.578125,-242.67578,-133.00010516731686,-1.0477860044267047,-0.43381923746038753
,,,0.0,,,0,1005,2026-09-19 18-23-36_335,0.079008654,0.18674773,9.911995,0.07129613,0.17964378,9.804746,0.0,-5.326322E-4,0.0,39.746094,-42.089844,-242.96875,-132.19755976122414,-1.049635316089981,-0.4166243121158712
,,,0.0,,,0,1507,2026-09-19 18-23-36_837,0.06703765,0.18914193,9.909601,0.071529746,0.17842157,9.804767,0.0,0.0,0.0015978967,39.35547,-41.015625,-240.91797,-131.70117196874392,-1.0424932908388618,-0.41798849062059973
,,,0.0,,,0,2008,2026-09-19 18-23-37_338,0.08140286,0.20350714,9.911995,0.06910713,0.17655459,9.804817,-0.0010652645,0.0010652645,0.0015978967,39.55078,-42.1875,-241.5039,-132.52823562900923,-1.0315835055685911,-0.40383022943557567
,,,0.0,,,0,2509,2026-09-19 18-23-37_839,0.08140286,0.18914193,9.880871,0.07066716,0.17938791,9.804754,0.00479369,-0.004261058,-0.0015978967,40.13672,-43.359375,-240.13672,-132.94415225763612,-1.0481401117896745,-0.41294868375952426
,,,0.0,,,0,3010,2026-09-19 18-23-38_340,0.074220255,0.19871874,9.916783,0.0676412,0.18054731,9.804754,0.002130529,-5.326322E-4,0.0,40.039062,-42.67578,-240.82031,-132.52207692332564,-1.0549150523184008,-0.3952668038726814
,,,0.0,,,0,3511,2026-09-19 18-23-38_841,0.090979666,0.18435353,9.890448,0.068597846,0.18236093,9.804715,-5.326322E-4,0.002130529,0.0,40.820312,-45.80078,-238.28125,-134.23539193112794,-1.065512925616574,-0.40085845207319853
,,,0.0,,,0,4012,2026-09-19 18-23-39_342,0.06703765,0.19632454,9.907207,0.06663306,0.18039599,9.804765,-0.00479369,0.0063915867,0.0010652645,40.625,-45.703125,-238.47656,-134.36166482573557,-1.0540308463848473,-0.3893754242040869
,,,0.0,,,0,4514,2026-09-19 18-23-39_844,0.06943185,0.17717093,9.919178,0.06534681,0.17290972,9.804908,0.020240024,-0.009054748,-0.007989483,40.33203,-44.726562,-240.42969,-133.99329845629052,-1.010285002570731,-0.3818537542716011
