episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
0,1,0.6423476,-23.988655,-0.591557,-23.103634,1.5184805
0,2,0.6374922,-48.050217,-2.1836956,-49.715454,3.2759907
0,3,-0.06807572,-72.07538,-4.310089,-75.78957,5.6382556
0,4,-2.0056567,-96.20705,-7.4851003,-101.45273,7.58561
0,5,-5.712994,-120.41565,-11.987979,-126.87486,9.00538
0,6,-10.087431,-144.74673,-17.110981,-152.33705,10.341332
0,7,-15.355886,-169.09125,-23.18989,-177.53738,11.519932
0,8,-21.600515,-192.26897,-30.554682,-202.20175,13.373007
0,9,-28.193031,-214.98523,-38.78652,-226.37737,15.556437
0,10,-35.33873,-238.11902,-47.744865,-250.51866,17.540335
0,11,-42.839256,-261.39417,-57.66208,-274.4798,19.772451
0,12,-51.089664,-284.76044,-68.63043,-298.08917,22.03029
0,13,-59.795124,-307.92105,-80.24328,-321.25372,24.410799
0,14,-67.61096,-330.6789,-91.796,-344.2361,27.725695
0,15,-73.90231,-354.4761,-102.93455,-367.13184,31.670778
0,16,-79.958,-379.34012,-113.4678,-390.12576,35.202793
0,17,-85.91659,-403.85034,-123.37562,-413.4868,38.678677
0,18,-91.2977,-428.3954,-132.46384,-437.23624,42.104767
0,19,-96.66564,-452.71356,-140.56644,-461.2428,44.72167
0,20,-102.95553,-476.41367,-147.81677,-485.44858,45.762
0,21,-109.28128,-499.62122,-154.34576,-509.9654,46.236454
0,22,-114.21776,-521.8794,-159.93027,-534.8139,47.50721
0,23,-117.66159,-543.5469,-164.57092,-559.8788,49.671085
0,24,-120.2812,-565.3605,-167.91516,-584.8431,51.464226
0,25,-121.795525,-587.45245,-170.30203,-610.08356,53.526146
0,26,-122.7754,-609.20557,-171.60452,-635.59106,55.502056
0,27,-122.518074,-631.396,-172.21349,-660.7554,57.720074
0,28,-121.66544,-653.49536,-171.93881,-685.7302,59.720165
0,29,-120.40541,-675.82776,-170.44586,-710.78296,61.040253
0,30,-119.074036,-697.3111,-167.74568,-735.8536,62.084236
0,31,-117.53206,-717.5263,-164.07793,-760.88586,63.612648
0,32,-115.294,-736.62335,-159.61623,-785.75183,66.16697
0,33,-111.9747,-755.21936,-154.5155,-810.03973,69.39015
0,34,-108.170364,-773.1906,-148.8419,-834.14465,73.27734
0,35,-103.794,-789.97974,-142.16054,-857.97644,78.07396
0,36,-99.42091,-806.13495,-135.40875,-881.09735,83.15339
0,37,-95.0065,-822.1551,-128.88916,-903.4391,88.06317
0,38,-90.67958,-837.58765,-122.951706,-925.4242,93.5775
0,39,-86.58715,-852.2633,-116.887634,-947.06323,99.5246
0,40,-83.2706,-865.3377,-110.96374,-968.98816,107.28619
0,41,-80.085106,-877.72687,-105.35858,-991.6463,116.68928
0,42,-76.68504,-890.7163,-100.13384,-1014.91925,126.39706
0,43,-73.14116,-904.1091,-95.29985,-1038.3142,136.02216
0,44,-69.80778,-917.08716,-90.761696,-1061.6321,146.05582
0,45,-66.91691,-929.3442,-86.52463,-1084.6505,156.5392
0,46,-64.340836,-940.7406,-82.638405,-1107.8223,168.08058
0,47,-61.814083,-951.8558,-79.10239,-1131.3608,180.33566
0,48,-59.57369,-962.4959,-76.151375,-1154.9008,193.11769
0,49,-57.515247,-972.83795,-73.58928,-1178.1769,205.9671
0,50,-55.54226,-982.9709,-71.48812,-1201.1935,218.80441
0,51,-53.46471,-993.313,-69.71168,-1224.1449,231.40297
0,52,-51.183315,-1003.7627,-68.24434,-1246.7733,243.60878
0,53,-48.64972,-1014.3857,-66.9861,-1269.5018,255.77426
0,54,-46.193634,-1024.3455,-65.72697,-1292.1193,268.48532
0,55,-43.572117,-1034.0396,-64.281815,-1314.2856,281.01025
0,56,-40.821205,-1043.1869,-62.604378,-1336.2125,293.8342
0,57,-37.698833,-1053.4125,-60.861984,-1358.1499,305.6165
0,58,-34.833275,-1064.0383,-59.377075,-1380.1656,317.07867
0,59,-32.012745,-1074.6738,-58.13169,-1402.0394,328.4059
0,60,-29.451988,-1084.6761,-56.63312,-1423.3118,339.72473
1,1,4.2907243,-24.932413,3.344809,-22.505854,2.604409
1,2,9.979996,-50.27294,7.8065124,-47.37183,3.6249797
1,3,17.274376,-75.35661,12.907242,-71.65974,5.721779
1,4,25.430063,-100.361336,18.580837,-95.76466,8.248714
1,5,34.61299,-124.63547,25.2622,-119.596436,10.622107
1,6,43.99545,-148.75238,32.01399,-142.71735,13.415552
1,7,53.599815,-173.11298,38.533585,-165.0591,17.083801
1,8,63.16702,-197.06454,44.47104,-187.04422,21.211945
1,9,72.46223,-220.43057,50.535107,-208.6832,24.875679
1,10,80.64634,-242.50137,56.459003,-230.60817,26.95321
1,11,88.71713,-264.05206,62.064156,-253.26633,28.752623
1,12,97.13051,-286.22388,67.288895,-276.53928,31.37377
1,13,105.76201,-308.78857,72.12289,-299.9342,34.784916
1,14,114.11543,-331.11142,76.66105,-323.25208,38.270096
1,15,121.79926,-352.95218,80.89811,-346.27048,41.44333
1,16,129.0255,-374.1201,84.78433,-369.44223,44.487785
1,17,136.22519,-395.12643,88.32036,-392.98077,47.952858
1,18,142.95361,-415.83188,91.27137,-416.5207,51.686832
1,19,149.38153,-436.38315,93.83346,-439.79684,55.652866
1,20,155.67659,-456.8078,95.934616,-462.81342,60.043076
1,21,162.16408,-477.42096,97.71106,-485.76495,64.990875
1,22,169.04376,-498.06934,99.1784,-508.3933,70.62403
1,23,176.40376,-518.82336,100.436646,-531.1218,76.956184
1,24,183.70685,-538.9274,101.69578,-553.7393,83.33791
1,25,191.3992,-558.71466,103.14093,-575.90564,89.916916
1,26,199.46638,-577.8596,104.81836,-597.8325,96.732445
1,27,208.06483,-598.0266,106.56076,-619.76996,103.80679
1,28,216.11703,-618.7823,108.04567,-641.78564,110.49242
1,29,224.09146,-639.59485,109.291046,-663.6594,117.295525
1,30,231.65854,-659.86444,110.78962,-684.93176,123.44094
1,31,239.32889,-680.0501,112.3398,-705.6618,129.54608
1,32,246.22627,-699.30646,113.81112,-725.9571,135.07047
1,33,252.80884,-718.38617,115.2,-745.87335,140.32726
1,34,258.9972,-736.8485,116.37778,-766.08514,145.5853
1,35,265.18115,-755.5538,117.609245,-786.87726,150.85962
1,36,271.34723,-773.99194,118.93782,-808.03467,156.16508
1,37,277.30972,-792.5472,120.19554,-829.21893,161.33717
1,38,282.8177,-810.9347,121.407745,-850.70087,166.23634
1,39,287.71783,-828.747,122.52511,-872.6143,170.91805
1,40,292.2117,-846.34937,123.36863,-894.9661,175.70308
1,41,295.1451,-862.9201,123.12441,-917.83496,180.57341
1,42,297.1493,-878.28485,121.225624,-940.4743,186.59225
1,43,298.31738,-892.4705,117.942665,-962.9709,193.66296
1,44,299.10864,-905.1763,113.57386,-984.756,201.88138
1,45,299.54077,-917.16144,107.76973,-1006.6069,211.60486
1,46,299.26505,-929.5369,100.68142,-1028.0684,221.68423
1,47,298.60168,-942.10236,92.42934,-1048.8988,232.19069
1,48,297.13763,-954.00653,82.76608,-1069.0469,243.2888
1,49,295.327,-965.58374,72.003456,-1088.4573,254.89471
1,50,293.53128,-977.2278,60.56251,-1107.1073,266.7267
1,51,292.0496,-988.93054,48.55102,-1125.0566,278.9657
1,52,290.8473,-1000.2964,35.917973,-1142.6039,291.95956
1,53,289.8604,-1011.0979,23.190022,-1160.1226,305.4856
1,54,289.19965,-1021.1411,10.730864,-1177.5967,319.4107
1,55,288.67578,-1031.6338,-1.902902,-1195.1423,333.4232
1,56,288.3152,-1042.4047,-14.5320835,-1213.0652,347.62262
1,57,288.51862,-1052.898,-26.252125,-1231.4327,361.87747
1,58,289.1024,-1063.5687,-36.75439,-1250.0892,375.4631
1,59,290.18112,-1074.1346,-46.23198,-1269.014,388.78238
1,60,291.56815,-1084.3478,-54.9425,-1288.76,402.31082
2,1,1.8249003,-20.794775,1.3967656,-18.668123,2.1693194
2,2,3.2969956,-41.912704,2.8680866,-38.96342,2.980308
2,3,4.582174,-63.848,4.2569656,-58.879665,4.978966
2,4,5.6807814,-85.94682,5.434746,-79.091446,6.859791
2,5,6.7112045,-108.57716,6.6662164,-99.88356,8.69372
2,6,7.8336825,-131.49438,7.994785,-121.04098,10.454649
2,7,8.689604,-154.53563,9.252511,-142.22525,12.323242
2,8,9.086718,-177.54524,10.464715,-163.7072,13.906485
2,9,8.966208,-200.16394,11.582076,-185.62064,14.776687
2,10,8.428383,-222.73183,12.425601,-207.97244,15.291081
