episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,drift_m
0,1,8.054588,4.8237777,4.1056023,3.5256257,4.1568847
0,2,15.822065,9.548719,7.7141213,8.950839,8.129958
0,3,23.418941,14.179215,10.57798,15.151087,12.877687
0,4,30.908955,18.724154,14.58472,20.303616,16.400467
0,5,38.23041,23.225994,20.032585,22.830622,18.20212
0,6,45.34444,28.339254,25.593431,21.65151,20.852537
0,7,52.14756,34.41478,29.72864,17.178917,28.278667
0,8,59.475815,40.488365,32.617115,10.445286,40.298588
0,9,68.59071,44.195084,35.805298,2.4064488,53.11472
0,10,78.2836,43.388798,39.71887,-6.6786213,63.197983
0,11,86.04512,37.646618,44.359863,-16.217812,68.11047
0,12,89.78589,28.569168,49.299305,-26.092873,68.022804
0,13,88.38113,18.750616,54.071075,-36.735165,65.236885
0,14,81.83995,11.311815,58.92288,-47.460705,63.082497
0,15,72.29717,8.876583,63.83695,-58.119022,67.52767
0,16,63.109867,12.223911,68.85495,-68.671394,81.09906
0,17,56.493633,19.691088,74.17056,-78.8637,100.12752
0,18,54.052746,29.674553,80.55635,-87.93009,120.554115
0,19,57.14493,39.809925,88.4304,-95.79557,139.16765
0,20,65.47726,46.76555,97.203926,-103.00757,153.0966
0,21,76.73891,48.191326,106.29597,-109.99516,160.92416
0,22,86.59724,42.82586,115.37273,-116.79774,162.19655
0,23,92.10925,32.91223,124.2629,-123.487114,159.67033
0,24,91.38312,21.60999,132.9597,-130.1112,157.31476
0,25,84.46486,12.792008,141.55788,-136.9168,160.22589
0,26,73.6452,9.317776,149.61417,-144.02214,171.12689
0,27,62.71611,12.464937,156.86157,-151.21344,188.82262
0,28,54.27993,20.412819,162.94553,-158.65765,209.46228
0,29,49.35862,31.21656,168.36646,-165.6861,230.07285
0,30,48.850845,43.472584,173.34239,-172.53625,249.31499
0,31,53.730618,54.80612,178.1715,-179.08458,264.9347
0,32,62.424118,64.46394,183.39536,-185.03871,277.28256
0,33,71.37351,74.41497,189.49455,-189.87286,289.4834
0,34,78.89099,86.067635,196.02791,-194.11757,303.68536
0,35,83.08442,99.7507,201.84453,-199.41101,321.87216
0,36,84.37256,114.57913,206.25934,-206.44907,343.38824
0,37,84.3534,130.03877,209.60982,-214.67542,366.76562
0,38,84.64887,145.90117,212.72923,-223.05693,390.55685
0,39,85.003716,161.62561,215.76788,-231.3781,414.18738
0,40,85.33448,177.30585,218.952,-240.17117,438.33856
0,41,85.73431,193.1955,222.19916,-249.19128,462.9565
0,42,86.11587,209.25092,225.47932,-258.17307,487.75748
0,43,87.13772,225.48322,228.9015,-266.81714,512.30524
0,44,88.05663,242.12201,232.20247,-274.88522,536.7257
0,45,88.73874,258.4258,235.44324,-284.0139,561.928
0,46,89.46361,274.6773,238.70872,-293.3511,587.30774
0,47,90.124176,291.43616,242.05673,-302.29822,612.8654
0,48,90.706,307.84036,245.32861,-311.61758,638.46405
0,49,90.98424,324.61407,248.39197,-319.8074,663.3674
0,50,91.15031,341.34555,251.69827,-328.17917,688.5049
0,51,91.231926,358.12192,255.39491,-334.8898,712.1901
0,52,91.04455,374.0843,258.8219,-341.98248,735.45966
0,53,90.56436,388.7015,261.5376,-350.19965,758.4239
0,54,89.85498,401.90546,263.88675,-357.02658,778.6301
0,55,88.95682,414.07306,266.5458,-364.40915,798.4813
0,56,87.92939,426.91486,267.93576,-370.45648,817.4371
0,57,86.723076,439.6051,270.163,-377.9376,837.8701
0,58,84.91987,453.09436,272.36398,-386.27615,860.0454
0,59,82.93082,466.95764,275.08908,-394.9177,883.03674
0,60,81.08626,479.81384,278.01227,-403.7607,905.25354
1,1,1.3707584,-4.155913,4.356498,-5.850855,3.433288
1,2,1.2149627,-8.79059,9.580356,-11.804986,8.891928
1,3,1.0158978,-13.257488,15.679551,-16.639149,15.048533
1,4,1.5336914,-17.728134,22.2129,-20.883852,20.91861
1,5,3.365829,-22.179277,28.02953,-26.177288,24.98564
1,6,6.3761334,-26.567715,32.44434,-33.21534,26.90246
1,7,10.131334,-31.125662,35.79481,-41.441692,27.659258
1,8,14.079512,-36.116634,38.914227,-49.823204,28.366056
1,9,18.05382,-41.18151,41.952877,-58.144382,29.307062
1,10,22.206568,-46.457806,45.136993,-66.93746,30.744442
1,11,26.532177,-51.999943,48.384155,-75.95757,32.426483
1,12,31.028385,-57.7441,51.66432,-84.93936,34.13831
1,13,35.427124,-63.84059,55.086502,-93.58343,35.652874
1,14,40.113735,-70.23179,58.387466,-101.65151,36.34733
1,15,44.684452,-76.29346,61.628235,-110.78017,38.424274
1,16,49.21753,-82.33986,64.89372,-120.11738,40.900906
1,17,54.09058,-88.77007,68.24173,-129.06451,42.707108
1,18,58.776863,-94.90342,71.5136,-138.38387,45.307545
1,19,63.810173,-101.23951,74.576965,-146.57368,46.595184
1,20,68.87062,-107.523346,77.88327,-154.94547,48.270958
1,21,74.006256,-113.834915,81.57991,-161.65607,48.417175
1,22,78.73156,-119.44917,85.0069,-168.74875,49.697365
1,23,82.697556,-123.96436,87.722595,-176.96594,53.239258
1,24,85.809456,-127.36175,90.07174,-183.79288,56.591866
1,25,88.27744,-129.9502,92.73081,-191.17543,61.386986
1,26,91.233894,-133.013,94.12075,-197.22275,64.27461
1,27,94.138954,-135.93396,96.348,-204.70386,68.80537
1,28,97.78301,-139.32881,98.548996,-213.04242,73.71759
1,29,101.75022,-142.95412,101.27408,-221.68399,78.731316
1,30,104.96366,-145.89061,104.19727,-230.52698,84.63984
1,31,107.348976,-148.05623,107.23281,-239.82144,91.76529
1,32,109.13979,-149.6239,110.37478,-249.39043,99.77417
1,33,110.73959,-150.95076,113.59395,-259.10825,108.195145
1,34,112.50341,-152.33022,116.760284,-268.6773,116.42494
1,35,114.670746,-153.74718,119.88608,-277.96902,124.331276
1,36,117.06447,-155.1388,123.02208,-287.09183,132.08745
1,37,120.40775,-156.76363,126.1329,-296.2173,139.57112
1,38,124.47709,-158.41911,129.09625,-305.11356,146.76715
1,39,128.70659,-159.90448,131.82524,-313.7377,153.86484
1,40,132.11188,-161.04346,134.4117,-322.11725,161.09021
1,41,135.3734,-162.14844,136.86858,-330.26962,168.12784
1,42,139.04811,-163.45853,139.26079,-338.58978,175.13138
1,43,143.73122,-165.17839,141.67918,-347.4689,182.30206
1,44,148.71034,-166.96016,144.02983,-356.52722,189.62483
1,45,152.07303,-168.20341,146.27512,-365.06384,196.94579
1,46,153.73128,-168.84608,148.83806,-373.44348,204.6559
1,47,154.06667,-168.99756,151.29924,-381.79733,212.81776
1,48,153.63484,-168.77719,153.73816,-390.03275,221.25558
1,49,152.78458,-168.27957,155.83412,-398.10843,229.84909
1,50,151.65999,-167.57509,157.87448,-406.19482,238.70065
1,51,150.77216,-167.01628,160.68085,-413.6478,246.83049
1,52,150.40903,-166.7891,164.61002,-420.08597,253.69466
1,53,150.50949,-166.85023,169.89705,-425.51236,259.38766
1,54,150.82967,-167.05612,176.49191,-429.64496,263.8398
1,55,151.05814,-167.20833,183.19958,-433.16513,267.89194
1,56,150.95587,-167.14064,188.67134,-437.3883,272.86676
1,57,150.11378,-166.61168,192.24037,-442.7954,279.37805
1,58,148.38533,-165.56046,193.49908,-449.5473,287.54788
1,59,146.86745,-164.62642,192.65079,-457.6946,296.62277
1,60,146.17903,-164.1897,191.2085,-466.85892,306.00052
2,1,3.184768,-9.232889,2.743198,-8.382204,0.95846194
2,2,6.6525564,-18.604794,5.8851647,-17.951195,1.0080086
2,3,10.48479,-28.10348,9.104332,-27.668997,1.4472177
2,4,14.698145,-37.72943,12.27067,-37.23808,2.476704
2,5,19.985477,-47.469616,15.396465,-46.529793,4.684261
2,6,25.917147,-57.14975,18.532463,-55.652603,7.534919
2,7,33.1387,-67.18083,21.64328,-64.778046,11.743851
2,8,41.47322,-77.2795,24.606636,-73.67431,17.247583
2,9,50.41401,-87.09854,27.335625,-82.29848,23.57228
2,10,58.95995,-96.20642,29.92208,-90.67802,29.559452
2,11,67.54201,-105.42426,32.378963,-98.83038,35.775955
2,12,76.29723,-115.13137,34.771168,-107.15054,42.286022
2,13,85.69543,-125.75233,37.189575,-116.02968,49.470673
2,14,95.42172,-136.5617,39.54021,-125.088,57.047256
