episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,raw_drift_m,snapped_drift_m
0,1,8.131913,4.9277043,4.1056023,3.5256257,4.2634497,31.719426897803856
0,2,16.088972,9.744255,7.7141213,8.950839,8.412351,24.947745718752614
0,3,23.999407,14.333376,10.57798,15.151087,13.446314,18.238819108014376
0,4,32.19354,18.835388,14.58472,20.303616,17.669922,20.5512023771675
0,5,40.63546,23.318256,20.032585,22.830622,20.608644,25.80550428179585
0,6,48.725964,28.894413,25.593431,21.65151,24.23992,31.656337555573586
0,7,56.366203,35.91393,29.72864,17.178917,32.56625,36.46113205452954
0,8,65.26647,41.748417,32.617115,10.445286,45.231255,18.538151505584963
0,9,75.46241,40.600044,35.805298,2.4064488,55.05849,0.0
0,10,78.76899,32.62579,39.71887,-6.6786213,55.405315,18.538151505584963
0,11,73.20642,28.111217,44.359863,-16.217812,52.888435,36.46113205452954
0,12,68.563286,31.353285,49.299305,-26.092873,60.590115,53.3056745924432
0,13,69.92093,35.068905,54.071075,-36.735165,73.53259,59.15475329091228
0,14,71.63077,34.706738,58.92288,-47.460705,83.144325,70.51641007500918
0,15,71.647995,34.901947,63.83695,-58.119022,93.34834,82.66296460211734
0,16,73.21529,34.92099,68.85495,-68.671394,103.68411,93.50811235615453
0,17,74.171646,32.894104,74.17056,-78.8637,111.757805,102.7501562442074
0,18,72.40754,30.87927,80.55635,-87.93009,119.08849,116.75357658711474
0,19,69.16555,32.371834,88.4304,-95.79557,129.60716,133.20045065904534
0,20,70.08697,36.987,97.203926,-103.00757,142.59666,147.61694784560672
0,21,75.599396,37.14967,106.29597,-109.99516,150.31262,154.41458156954252
0,22,76.2792,30.783949,115.37273,-116.79774,152.67172,159.01196136324478
0,23,69.33275,28.418484,124.2629,-123.487114,161.53214,162.2868780380872
0,24,64.779015,36.260414,132.9597,-130.1112,179.80022,164.31722787470943
0,25,73.49061,42.629143,141.55788,-136.9168,192.01535,183.25931924058068
0,26,81.67154,33.95962,149.61417,-144.02214,190.50908,206.95237488235895
0,27,72.741486,24.776165,156.86157,-151.21344,195.06033,203.88887485897612
0,28,60.59607,29.866909,162.94553,-158.65765,214.51555,226.66609291505162
0,29,57.26975,42.74831,168.36646,-165.6861,236.19353,222.37519996354624
0,30,65.12262,53.20182,173.34239,-172.53625,250.33817,244.00679483899307
0,31,78.5081,51.066803,178.1715,-179.08458,250.80362,238.97358714700525
0,32,85.336975,40.307297,183.39536,-185.03871,245.75653,260.0444647570001
0,33,91.48919,30.032223,189.49455,-189.87286,240.75569,273.43858657206647
0,34,100.47425,23.453459,196.02791,-194.11757,237.62924,274.96404858459414
0,35,110.55034,25.359661,201.84453,-199.41101,242.60356,269.5898483880971
0,36,116.54948,32.685207,206.25934,-206.44907,255.40764,269.5856335261209
0,37,119.3794,41.08039,209.60982,-214.67542,271.20575,286.36872632647606
0,38,122.77577,48.89589,212.72923,-223.05693,286.44363,286.59591601037516
0,39,126.514015,56.486732,215.76788,-231.3781,301.38416,303.3550030885576
0,40,130.08162,63.200207,218.952,-240.17117,316.12045,319.43101247783744
0,41,133.94681,69.106415,222.19916,-249.19128,330.30576,321.48754570627966
0,42,137.8287,74.53293,225.47932,-258.17307,344.058,337.8445298457761
0,43,142.7168,78.96365,228.9015,-266.81714,356.3596,352.91698458397997
0,44,146.78355,82.92295,232.20247,-274.88522,367.86285,355.3860810214397
0,45,150.72516,87.316376,235.44324,-284.0139,380.87177,370.77032443176853
0,46,154.82451,91.27217,238.70872,-293.3511,393.66437,384.4382648465978
0,47,158.7172,94.226585,242.05673,-302.29822,405.1881,389.61835174624883
0,48,162.30081,96.63655,245.32861,-311.61758,416.61142,403.2578433488457
0,49,165.25926,98.74166,248.39197,-319.8074,426.7252,407.720969002704
0,50,168.14369,100.79578,251.69827,-328.17917,437.03647,420.5712905050535
0,51,170.71501,102.652306,255.39491,-334.8898,445.66107,424.18604221136445
0,52,172.84175,104.44555,258.8219,-341.98248,454.6324,432.00549778934163
0,53,174.64684,106.08925,261.5376,-350.19965,464.48846,440.39375597727843
0,54,176.77966,108.26563,263.88675,-357.02658,473.37564,451.3982652062988
0,55,179.40501,111.61994,266.5458,-364.40915,483.93927,455.08782389543114
0,56,181.68431,114.18774,267.93576,-370.45648,492.25943,464.90331300024246
0,57,185.02066,117.77396,270.163,-377.9376,502.97034,468.49765844202267
0,58,187.264,120.77194,272.36398,-386.27615,514.13983,480.6705745160263
0,59,189.10608,123.4226,275.08908,-394.9177,525.42334,485.5746058807689
0,60,191.09015,126.387436,278.01227,-403.7607,537.2267,488.7123676167006
1,1,-0.14167279,-3.9743714,4.356498,-5.850855,4.8738823,4.191485718998115
1,2,-3.686996,-6.552777,9.580356,-11.804986,14.269138,7.9208880836674505
1,3,-7.4125485,-8.949107,15.679551,-16.639149,24.338896,20.132811502564014
1,4,-9.920982,-12.646879,22.2129,-20.883852,33.17279,23.341890307298733
1,5,-8.818886,-17.534481,28.02953,-26.177288,37.84843,23.38669898999312
1,6,-4.427698,-20.881788,32.44434,-33.21534,38.88012,23.576070025452882
1,7,1.2531323,-22.578632,35.79481,-41.441692,39.35661,39.40349303241628
1,8,6.8719664,-24.790901,38.914227,-49.823204,40.66107,42.275395775913196
1,9,12.222183,-27.197742,41.952877,-58.144382,42.913967,46.54423318289316
1,10,18.010962,-30.019705,45.136993,-66.93746,45.81203,48.62142190241654
1,11,23.750576,-33.49633,48.384155,-75.95757,49.089413,49.91715334738508
1,12,29.156801,-37.085567,51.66432,-84.93936,52.882645,52.83653908732817
1,13,33.630135,-41.687553,55.086502,-93.58343,56.156544,56.184745361776855
1,14,38.808064,-46.647705,58.387466,-101.65151,58.38469,58.379057803467575
1,15,44.000145,-50.988865,61.628235,-110.78017,62.335777,62.21201199970038
1,16,48.87566,-55.700905,64.89372,-120.11738,66.37816,66.02328182578317
1,17,53.585434,-61.476696,68.24173,-129.06451,69.15866,68.54220350504211
1,18,58.171665,-67.80802,71.5136,-138.38387,71.82588,70.92594550804105
1,19,63.232525,-74.419685,74.576965,-146.57368,73.040375,71.6683750068335
1,20,68.248,-80.96688,77.88327,-154.94547,74.60342,72.34437211445926
1,21,73.42072,-87.62888,81.57991,-161.65607,74.47547,71.61513916503321
1,22,79.06711,-93.870224,85.0069,-168.74875,75.11375,72.18498681329231
1,23,84.77502,-99.715614,87.722595,-176.96594,77.30654,73.82558216948587
1,24,90.136444,-104.615295,90.07174,-183.79288,79.17761,74.76772320769373
1,25,94.74577,-107.97054,92.73081,-191.17543,83.22928,77.92595288197356
1,26,99.71061,-112.07727,94.12075,-197.22275,85.32877,77.78667741024013
1,27,103.426384,-115.29999,96.348,-204.70386,89.68364,80.69279726128539
1,28,108.361336,-118.73107,98.548996,-213.04242,94.82042,85.7391749839127
1,29,113.78843,-122.22854,101.27408,-221.68399,100.23969,89.69551434843463
1,30,118.79349,-125.33094,104.19727,-230.52698,106.20384,93.42979441161
1,31,123.82303,-128.3252,107.23281,-239.82144,112.72377,97.68423942880953
1,32,128.27016,-130.80093,110.37478,-249.39043,119.93211,103.82144519363771
1,33,133.40405,-133.15663,113.59395,-259.10825,127.5,110.11468233256159
1,34,137.92062,-134.877,116.760284,-268.6773,135.46321,112.65572616028369
1,35,142.04556,-135.31435,119.88608,-277.96902,144.36551,119.89289561994748
1,36,144.7048,-135.44028,123.02208,-287.09183,153.19379,132.10504029651474
1,37,148.14117,-135.1243,126.1329,-296.2173,162.58942,136.72041043146734
1,38,152.60106,-133.89711,129.09625,-305.11356,172.82231,151.1227070202976
1,39,156.31516,-132.23637,131.82524,-313.7377,183.14607,154.1952490688187
1,40,159.90884,-130.58588,134.4117,-322.11725,193.22104,168.93568574802637
1,41,163.78297,-129.13536,136.86858,-330.26962,202.92703,171.0244105358073
1,42,167.505,-128.12498,139.26079,-338.58978,212.35152,186.09933385327037
1,43,173.05745,-126.82193,141.67918,-347.4689,222.86696,202.81914682083823
1,44,178.84186,-125.35604,144.02983,-356.52722,233.77765,204.63423796806805
1,45,183.44719,-124.4496,146.27512,-365.06384,243.46864,205.65461097959053
1,46,186.70381,-123.77423,148.83806,-373.44348,252.52435,214.41735252620242
1,47,188.53998,-123.62745,151.29924,-381.79733,260.84204,223.12524118359553
1,48,189.60422,-123.727325,153.73816,-390.03275,268.7098,231.71345350214625
1,49,189.79274,-123.77559,155.83412,-398.10843,276.42664,240.0477950989959
1,50,189.27371,-123.612206,157.87448,-406.19482,284.32172,248.37661196696516
1,51,189.0339,-123.53885,160.68085,-413.6478,291.49118,256.32551157637045
1,52,189.15797,-123.57626,164.61002,-420.08597,297.52414,263.6433426666583
1,53,189.67038,-123.69282,169.89705,-425.51236,302.46655,270.4344214704326
1,54,189.84747,-123.76088,176.49191,-429.64496,306.1755,276.4730627961761
1,55,189.3542,-123.54735,183.19958,-433.16513,309.67896,282.0620890221908
1,56,188.40425,-123.165344,188.67134,-437.3883,314.22308,287.94938481452976
1,57,186.14151,-122.43833,192.24037,-442.7954,320.41513,294.2822376459639
1,58,182.45718,-121.320854,193.49908,-449.5473,328.4121,308.88317607931145
1,59,178.17192,-119.764206,192.65079,-457.6946,338.24045,311.9043724465814
1,60,175.28127,-118.5355,191.2085,-466.85892,348.68738,316.46472608570747
2,1,3.3135319,-9.456349,2.743198,-8.382204,1.2161698,10.071623242570062
2,2,7.10822,-19.290524,5.8851647,-17.951195,1.8137436,10.237130057431777
2,3,11.907963,-29.309322,9.104332,-27.668997,3.2482324,10.237130057431777
2,4,17.3387,-38.951374,12.27067,-37.23808,5.3497944,10.079341246255447
2,5,25.07492,-46.909725,15.396465,-46.529793,9.68591,9.80340316446437
2,6,32.610466,-53.80757,18.532463,-55.652603,14.198391,9.646779649142932
2,7,42.062263,-60.304874,21.64328,-64.778046,20.903208,9.64111483346252
2,8,53.56134,-65.51482,24.606636,-73.67431,30.082424,9.376848947961896
2,9,65.24815,-68.79266,27.335625,-82.29848,40.246326,9.045656189430861
2,10,76.82993,-71.915634,29.92208,-90.67802,50.521023,8.769640174994837
2,11,88.28112,-75.91062,32.378963,-98.83038,60.418262,5.813599008697079
2,12,98.98572,-80.80514,34.771168,-107.15054,69.40886,25.94059843509117
2,13,111.139885,-86.87867,37.189575,-116.02968,79.48855,26.372814313333567
2,14,123.6367,-92.8496,39.54021,-125.088,90.064064,18.560631273308495
2,15,134.68805,-98.88101,41.7855,-133.62459,99.18669,18.185282048511528
2,16,144.60583,-104.163895,44.348442,-142.00426,107.160805,17.58636422310562
2,17,152.57335,-109.78194,46.80963,-150.35811,113.280136,17.471529133418283
2,18,158.88875,-116.12395,49.24854,-158.5935,117.578224,17.297848670482058
2,19,163.7044,-122.78105,51.34451,-166.66919,120.627174,16.929791958176697
2,20,167.84119,-129.20802,53.38487,-174.7556,123.18616,16.68303830716883
2,21,172.19345,-135.85063,56.19123,-182.20856,124.922264,16.277719794485296
2,22,176.76524,-142.76828,60.120407,-188.64674,125.34293,16.249760582899167
2,23,182.03781,-149.65797,65.40743,-194.07314,124.80125,15.023754940623547
2,24,186.14453,-157.00099,72.0023,-198.20573,121.35189,15.250075427530277
2,25,189.63766,-163.90598,78.70997,-201.72589,117.19769,15.347195406487193
2,26,193.09389,-170.31555,84.18173,-205.94907,114.593216,14.432945258220595
2,27,196.29218,-175.34962,87.750755,-211.35617,114.35783,13.20927496517435
2,28,198.78627,-179.1367,89.00946,-218.10806,116.48912,13.082436872253941
2,29,200.74597,-182.49341,88.16117,-226.25539,120.790924,14.904861747118417
2,30,203.15977,-187.18762,86.71888,-235.41968,126.034966,29.57963961991203
2,31,205.98412,-192.29866,85.92227,-244.96675,131.10596,33.66027660007266
2,32,208.47415,-196.75266,85.92668,-254.98898,135.68108,49.07095982418655
2,33,210.01817,-201.62553,86.15781,-265.456,139.3403,54.12326500827461
2,34,210.52394,-206.52502,86.52428,-276.07553,142.1731,70.16559370039971
2,35,208.54465,-210.91118,86.941185,-286.7675,143.32335,75.41565279340465
2,36,205.0687,-213.32846,87.70708,-297.7264,144.55713,79.62901160392023
2,37,201.72392,-214.29634,89.260315,-308.17706,146.49796,90.06935574416319
2,38,199.33769,-214.30093,91.18229,-319.0964,150.59775,101.01172506227363
2,39,197.54669,-214.43556,93.25618,-330.28784,155.879,112.26016171320688
2,40,197.25957,-214.4455,95.262726,-341.41324,162.86241,123.46367072723669
2,41,197.35411,-214.4414,97.12418,-352.73776,170.7979,134.87406389673447
2,42,198.22572,-214.2923,98.604485,-364.23935,180.02364,146.44599429742723
2,43,199.54512,-214.08531,99.0172,-375.036,189.76562,157.24678022166034
2,44,201.62674,-213.7541,99.02699,-385.05478,199.67632,167.2470491866885
2,45,203.45126,-213.52892,99.0136,-394.9556,209.33913,177.13031346111026
2,46,205.33362,-213.4652,99.23776,-406.1515,219.9644,188.32142135042105
2,47,206.25128,-213.46968,99.81295,-417.2743,229.92485,199.45906832051043
2,48,207.32852,-213.45525,101.08305,-427.56918,239.02484,209.80887826831594
2,49,208.93932,-213.38776,103.16521,-437.9465,248.22327,220.29378800903316
2,50,211.63582,-213.18275,106.417206,-448.18063,257.4781,230.73029027959882
2,51,215.80788,-213.0492,110.71431,-457.91882,266.46912,247.6298488353219
2,52,220.80492,-213.70804,115.67925,-466.1771,273.48132,262.1275642759724
2,53,225.29822,-216.30215,121.36347,-473.0827,277.0175,263.8763933328836
2,54,227.20949,-218.5167,127.63282,-478.815,278.69467,270.4163775922458
2,55,228.35121,-221.20111,134.87975,-483.30426,278.27142,276.0021910549073
2,56,229.76778,-224.251,143.21611,-486.9168,276.55832,287.10349734879867
2,57,231.64807,-228.1486,152.10449,-491.7033,275.29666,287.63957429058655
2,58,233.98956,-233.17558,160.86212,-498.77246,275.48016,289.7172024274873
2,59,236.51958,-238.67668,170.28572,-506.7583,276.1425,295.06804082186864
2,60,238.43816,-243.54326,181.17787,-514.711,277.1474,310.5955462454876
3,1,-0.903514,-8.954409,-0.67402244,-8.556116,0.45967743,0.3981915874874466
3,2,-1.8082783,-17.71917,-0.66961026,-18.578337,1.4264407,0.8596673918908991
3,3,-4.488549,-26.097271,-0.43848678,-29.045338,5.009402,20.490574403074064
3,4,-8.7963,-33.704823,-0.07201447,-39.664898,10.565778,21.095029290145565
3,5,-16.410063,-38.152325,0.34489197,-50.356846,20.728697,21.325904588311495
3,6,-24.91973,-38.06237,1.1107843,-61.315758,34.904263,24.141248337828443
3,7,-32.376476,-35.453587,2.664019,-71.766426,50.46245,42.83359957928463
3,8,-37.9965,-31.472702,4.585996,-82.68577,66.60365,64.32250841301664
3,9,-43.48922,-28.156317,6.6598897,-93.877205,82.66903,67.05174771094102
3,10,-47.679096,-25.389252,8.666436,-105.002594,97.53514,81.17818942612385
3,11,-51.767242,-22.740072,10.527894,-116.327126,112.424286,98.38807211859418
3,12,-55.63486,-20.877604,12.008194,-127.82871,126.54692,108.90301150699837
3,13,-59.292618,-19.053478,12.420905,-138.62538,139.42836,120.75869064507941
3,14,-62.477844,-17.473633,12.430701,-148.64413,151.05295,131.85020250543528
3,15,-66.12692,-15.501776,12.417308,-158.54495,163.18869,143.66942470447904
3,16,-69.53863,-13.245105,12.641472,-169.74084,176.7611,157.09125371564284
3,17,-73.66794,-10.277744,13.21666,-180.86366,191.43794,162.8783749789055
3,18,-77.80537,-7.4177427,14.48676,-191.15854,205.6174,183.23073776999362
3,19,-81.649925,-4.9189343,16.568916,-201.53586,219.78435,193.74858579065784
3,20,-84.71107,-3.0742218,19.820915,-211.76997,233.41133,204.24477650821947
3,21,-86.52312,-1.8708481,24.118015,-221.5082,245.93094,214.3904485900566
3,22,-87.53406,-0.93035614,29.082962,-229.76645,256.83746,223.96621750512358
3,23,-88.05337,0.20500088,34.767178,-236.67206,266.82507,232.67459469530183
3,24,-88.38318,3.710727,41.03653,-242.40437,278.0685,242.71090375242045
3,25,-87.60225,7.2683206,48.283447,-246.89362,288.2069,251.5707939570535
3,26,-87.00203,10.504192,56.619812,-250.50616,297.91547,256.8254327913511
3,27,-86.60128,12.856635,65.508194,-255.29265,308.28775,263.5638147385041
3,28,-86.37904,14.062026,74.26583,-262.36185,319.7138,272.67095741726405
3,29,-86.233864,14.828665,83.68944,-270.34766,331.96304,283.00559221003175
3,30,-85.84884,16.383871,94.58157,-278.30032,345.53424,293.9340925307821
3,31,-85.27587,18.560654,106.53254,-285.9451,359.88083,305.14658744061586
3,32,-84.84561,20.38989,118.918915,-293.3121,374.07074,316.50362480890357
3,33,-84.84802,20.500387,131.2022,-300.40277,386.85468,327.80618353502086
3,34,-84.32467,18.891382,143.5379,-307.44498,398.01605,339.30344937285173
3,35,-82.94342,16.544079,155.56897,-314.60324,408.10135,350.9678874533294
3,36,-81.206024,14.536041,167.28113,-322.00565,418.3374,362.86698660754627
3,37,-79.42039,12.83008,178.93341,-329.30212,428.72034,374.77887810360414
3,38,-77.822426,11.455624,190.40869,-336.24234,439.13757,386.4153940980706
3,39,-76.28962,10.365084,201.5466,-343.08228,449.57535,397.9061744182088
3,40,-74.58411,9.832305,212.55249,-350.137,460.46207,409.60676498175854
3,41,-72.49766,10.17378,223.67393,-357.43573,472.07455,421.65622604184426
3,42,-70.9154,12.732951,235.16182,-364.72485,485.96054,433.9693538367406
3,43,-71.58464,15.329023,247.02402,-371.83057,501.40204,446.4117624277901
3,44,-72.28846,16.896181,259.15005,-378.30728,515.78796,458.56333260997593
3,45,-72.76228,17.864147,271.32248,-385.39395,530.1051,471.3280792413769
3,46,-72.96014,18.244135,283.85498,-392.80664,544.31586,484.6412793505296
3,47,-73.01516,18.345825,296.86078,-398.49313,557.28174,496.92077366994135
3,48,-72.94233,18.211222,310.19977,-402.6585,569.14777,508.29683102128956
3,49,-72.72105,17.671953,323.19284,-406.66107,580.35016,519.4569020631892
3,50,-72.47476,16.97274,335.91696,-412.3973,592.57275,531.9033984877896
3,51,-72.17047,15.95835,348.30896,-418.19995,604.3975,544.2615784872069
3,52,-71.929504,15.100617,361.80392,-422.62024,616.2177,556.3463072513573
