episode_idx,time_sec,dr_E_m,dr_N_m,gt_E_m,gt_N_m,raw_drift_m,snapped_drift_m
0,1,0.6423476,-23.988655,-0.591557,-23.103634,1.5184805,0.8097495003872289
0,2,0.6374922,-48.050217,-2.1836956,-49.715454,3.2759907,1.8307541990496958
0,3,-0.06807572,-72.07538,-4.310089,-75.78957,5.6382556,4.046717295257257
0,4,-2.0056567,-96.20705,-7.4851003,-101.45273,7.58561,5.878792012617011
0,5,-5.712994,-120.41565,-11.987979,-126.87486,9.00538,7.454680835189092
0,6,-10.087431,-144.74673,-17.110981,-152.33705,10.341332,8.826642392694112
0,7,-15.355886,-169.09125,-23.18989,-177.53738,11.519932,10.047788439731766
0,8,-21.600515,-192.26897,-30.554682,-202.20175,13.373007,12.0796499341635
0,9,-28.193031,-214.98523,-38.78652,-226.37737,15.556437,14.198936671623697
0,10,-35.33873,-238.11902,-47.744865,-250.51866,17.540335,15.941456178486849
0,11,-42.839256,-261.39417,-57.66208,-274.4798,19.772451,17.7600449731017
0,12,-51.089664,-284.76044,-68.63043,-298.08917,22.03029,19.479006046245633
0,13,-59.795124,-307.92105,-80.24328,-321.25372,24.410799,21.083688097224446
0,14,-67.61096,-330.6789,-91.796,-344.2361,27.725695,22.976218482990593
0,15,-73.90231,-354.4761,-102.93455,-367.13184,31.670778,24.082654963155708
0,16,-79.958,-379.34012,-113.4678,-390.12576,35.202793,23.76342278637798
0,17,-85.91659,-403.85034,-123.37562,-413.4868,38.678677,23.499592299975795
0,18,-91.2977,-428.3954,-132.46384,-437.23624,42.104767,22.971857869567604
0,19,-96.66564,-452.71356,-140.56644,-461.2428,44.72167,22.122846905632944
0,20,-102.95553,-476.41367,-147.81677,-485.44858,45.762,21.52955290830062
0,21,-109.28128,-499.62122,-154.34576,-509.9654,46.236454,21.59481704151448
0,22,-114.21776,-521.8794,-159.93027,-534.8139,47.50721,22.645240458999915
0,23,-117.66159,-543.5469,-164.57092,-559.8788,49.671085,26.240348219731736
0,24,-120.2812,-565.3605,-167.91516,-584.8431,51.464226,27.85907083255355
0,25,-121.795525,-587.45245,-170.30203,-610.08356,53.526146,28.889474740205717
0,26,-122.7754,-609.20557,-171.60452,-635.59106,55.502056,30.886210136526604
