time_s,dt_s,heading_before_deg,heading_after_deg,wrapped_delta_deg,heading_rate_dps,gps_orientation_deg,phone_yaw_deg,vehicle_yaw_rate_dps,steering_deg,vehicle_speed_kmh
44432.704,0.09999999999854481,226.301,269.394,43.09300000000002,430.93000000627103,233.67,39.46,0.3000183,0.0,0.565
44433.104,0.09999999999854481,271.308,231.538,-39.76999999999998,-397.7000000057871,233.67,33.58,1.399994,0.0,0.752
44635.804,0.09999999999854481,279.189,235.431,-43.75800000000001,-437.5800000063677,234.1,60.85,-0.1000061,12.09998,0.792
51782.604,0.09999999999854481,49.568000000000005,201.36900000000003,151.80100000000004,1518.0100000220905,333.4,276.74,-2.100006,0.0,0.594
51792.103,0.09900000000197906,266.09,346.01300000000003,79.92300000000006,807.3030302868925,333.4,297.14,0.0,0.0,0.7340000000000001
51792.204,0.10099999999511056,346.01300000000003,33.719,47.70599999999996,472.3366336862319,333.4,294.94,-0.1000061,0.0,0.7340000000000001
52521.604,0.09999999999854481,297.745,202.754,-94.99100000000001,-949.9100000138232,304.32,213.93,-0.1000061,13.79999,0.738
52521.804,0.09999999999854481,202.754,84.26,-118.49399999999999,-1184.940000017243,304.32,209.8,-0.2999877999999999,13.79999,1.328
52521.904,0.10000000000582077,84.26,120.289,36.028999999999996,360.2899999790283,304.32,204.93,-0.1000061,13.79999,1.048
52530.504,0.09999999999854481,120.289,73.009,-47.28,-472.80000000688017,304.32,190.66,-0.1000061,13.79999,0.792
52530.604,0.09999999999854481,73.009,5.468999999999999,-67.54,-675.4000000098284,304.32,193.41,-0.1999817,13.79999,0.857
52530.703,0.09900000000197906,5.468999999999999,328.05800000000005,-37.410999999999945,-377.88888888133414,304.32,193.2,-0.1000061,13.79999,1.055
52852.104,0.09999999999854481,39.659,2.32,-37.339,-373.39000000543354,58.58,347.43,2.800018,0.0,1.08
55628.604,0.09999999999854481,160.124,87.271,-72.853,-728.5300000106015,138.79,357.29,0.0,0.0,0.5
55629.904,0.10000000000582077,87.271,123.001,35.73000000000002,357.2999999792026,139.9,19.86,0.8999939,0.0,0.598
56320.404,0.10000000000582077,148.53799999999998,117.981,-30.556999999999988,-305.56999998221335,142.56,337.61,0.0,0.0,0.551
56323.404,0.10000000000582077,141.379,205.811,64.43200000000002,644.3199999624958,142.56,332.8,0.0,0.0,0.619
56323.504,0.09999999999854481,205.811,163.047,-42.76400000000001,-427.6400000062231,142.56,334.36,0.0,0.0,0.878
