time_s,vehicle_heading_deg,raw_mag_heading_deg,tilt_mag_heading_deg,aligned_mag_heading_deg,heading_error_deg,mag_norm_uT,gravity_norm
3.41,-122.36609999999894,-80.9931239616427,-80.88848108668519,-120.82866414733493,1.5374358526640037,39.02976043995146,9.806571960680245
3.509,-122.46626999999842,-81.07437137088239,-81.04637416594976,-120.9865572265995,1.4797127733989157,39.54425748449451,9.806549608297507
3.609,-122.79149999996866,-82.34934904464059,-82.34846564805922,-122.28864870870896,0.5028512912597023,39.02242944769072,9.80660090398299
3.71,-123.24630000001923,-82.47324804788424,-82.4219431303276,-122.36212619097734,0.8841738090418971,38.93194832011365,9.806524070229981
3.81,-122.94359999996999,-82.75692208758383,-82.80581318167617,-122.7459962423259,0.19760375764408877,39.784079730465045,9.806609773515003
3.91,-123.92619999999931,-82.0330387386697,-81.9516203466403,-121.89180340729004,2.034396592709271,40.59000615915203,9.806624920430066
4.01,-123.93510000000225,-81.8147340759324,-81.74518095656629,-121.68536401721602,2.249735982786234,40.31587404484739,9.806519833763657
4.109,-123.6576299999598,-82.97348141854086,-82.75315941137482,-122.69334247202457,0.9642875279352268,39.990790189742434,9.8065796835594
4.21,-124.27360000001158,-83.55372612797666,-83.52567435816836,-123.4658574188181,0.8077425811934802,40.52014560684598,9.80652234484784
4.309,-123.97570000001576,-83.31826903838335,-83.2013313117052,-123.14151437235495,0.8341856276608155,40.401545762507645,9.80658420960122
4.41,-123.64079999997591,-82.62742781490202,-82.41961769275822,-122.35980075340797,1.2809992465679443,40.95809810037571,9.80664927791343
4.51,-125.18380000000644,-83.43032037776685,-83.40128428361896,-123.3414673442687,1.8423326557377493,41.22504214673406,9.806609630754147
4.609,-124.24959999995787,-83.78487860211136,-83.83851654114717,-123.77869960179692,0.47090039816094986,40.63944020283744,9.806513979493426
4.71,-124.96009999998438,-83.52859241968422,-83.59435559498577,-123.53453865563552,1.4255613443488642,40.844120751951564,9.806613868201397
4.81,-125.26700000000744,-85.2321359668378,-85.09359422254855,-125.03377728319828,0.23322271680916629,41.246685927477856,9.806560329697666
4.91,-125.02969999999925,-83.88875552869222,-83.90544412519381,-123.84562718584354,1.1840728141557122,41.126143753092144,9.806523596565706
5.01,-125.09239999999932,-83.608267836646,-83.46768074140012,-123.40786380204986,1.6845361979494555,41.03432465631669,9.806585217087546
5.11,-125.20119999999645,-83.93402053826013,-83.86827700363621,-123.80846006428595,1.3927399357104946,41.62015377194083,9.806619318093263
5.21,-125.23760000000823,-85.23194743554856,-85.18218750825417,-125.1223705689039,0.11522943110432493,40.704971440844915,9.806625992664348
5.309,-125.07892999999501,-85.22772140566167,-85.11873756696437,-125.0589206276141,0.020009372380911827,41.25775321076028,9.806631898873333
5.41,-125.29259999999312,-84.50997802381546,-84.46540098729282,-124.40558404794257,0.8870159520505467,41.63839334076184,9.806607545935545
5.509,-125.70399000000361,-83.87779160848302,-83.73670437364692,-123.67688743429665,2.0271025657069686,41.55492991210549,9.806556260991929
5.61,-125.09459999999001,-84.0124454354834,-83.97814326271981,-123.91832632336954,1.1762736766204682,42.07078915352076,9.806606111188518
5.71,-125.24280000000431,-84.18516447721154,-84.17522076446853,-124.11540382511828,1.1273961748860302,41.83972992264649,9.806601197662726
5.81,-125.20559999998488,-85.46930736519829,-85.46846467007897,-125.40864773072872,-0.2030477307438332,42.16950794116526,9.806609610869598
5.91,-125.66060000000476,-85.24076104839939,-85.20613838174457,-125.14632144239431,0.5142785576104529,41.057378143276516,9.806603250871323
6.009,-125.3365099999998,-84.4366786437212,-84.46404749743768,-124.40423055808742,0.9322794419123852,41.9373175107803,9.806604509716909
6.11,-125.32570000002625,-84.21826650476267,-84.1955490374387,-124.13573209808843,1.1899679019378198,41.98058003410625,9.806601351130778
6.21,-124.89120000000753,-83.67547139736122,-83.76587022304653,-123.70605328369626,1.185146716311266,41.4397345551344,9.806619024414072
6.309,-124.74566999999547,-85.23635830927383,-85.18016257617147,-125.12034563682121,-0.37467563682574223,42.374946607635984,9.806514392994076
6.41,-124.92099999999647,-85.65982486003135,-85.62196360527672,-125.56214666592646,-0.6411466659299947,42.43171573245654,9.806608549850452
6.509,-125.15077000000076,-83.99281877791508,-84.03915532889658,-123.97933838954631,1.171431610454448,42.14705327777969,9.806610117670632
6.609,-124.97695000002534,-85.65982486003135,-85.75687127857124,-125.69705433922098,-0.7201043391956432,42.38781900499246,9.806636010375831
6.71,-124.61089999998359,-86.01028799541137,-85.94299383637639,-125.88317689702612,-1.2722768970425307,42.63605281918109,9.806573794144416
6.81,-124.93650000000679,-85.5690226085879,-85.68188231098837,-125.62206537163812,-0.685565371631327,43.02390730744942,9.806549201936427
6.909,-124.69449000000316,-85.75461631845293,-85.70786164697724,-125.64804470762698,-0.9535547076238231,42.32994330258428,9.806610634668841
7.009,-124.50300999999843,-85.98855727336833,-86.05474639506652,-125.99492945571626,-1.4919194557178344,42.692192494647074,9.806610166617208
7.11,-124.73220000001913,-84.99265227024544,-85.0036830440634,-124.94386610471312,-0.2116661046939896,42.43922006823405,9.806625362988024
7.21,-124.46529999998427,-85.05846587445753,-85.05381496202398,-124.99399802267371,-0.52869802268944,42.81837222501575,9.806601097220177
7.31,-124.7557000000125,-85.64269428735575,-85.77312962301271,-125.71331268366245,-0.9576126836499554,42.249214193875844,9.806546614889463
7.409,-124.38813999999411,-84.54067972847122,-84.56697354021333,-124.50715660086306,-0.11901660086894594,42.36408266444584,9.806602600799117
7.51,-124.75150000000247,-85.83591978526195,-85.8904414305391,-125.83062449118884,-1.079124491186377,42.46528582265754,9.8065091230264
7.61,-124.37799999999493,-85.1634165542647,-85.08455550721152,-125.02473856786125,-0.646738567866322,42.26519726678204,9.80662191633796
7.71,-124.42650000001373,-86.76968147644797,-86.80769653223457,-126.74787959288432,-2.321379592870585,42.84419330551108,9.806605254113169
7.809,-124.14542999999651,-85.94350309190509,-86.00328188371645,-125.94346494436618,-1.7980349443696753,42.94524537128645,9.80661202913626
7.91,-124.28959999999626,-86.55778471410262,-86.53250771758022,-126.47269077822995,-2.183090778233691,42.44736269781669,9.806534977758453
8.01,-124.53900000000044,-87.52016849340072,-87.50493301012136,-127.44511607077109,-2.9061160707706506,42.62385482332634,9.80661149531274
8.11,-124.46999999999832,-86.02583678791231,-86.12117328862799,-126.06135634927773,-1.5913563492794083,42.81860576898786,9.806621402399502
8.213,-124.4450000000167,-86.8605589696266,-86.6813345910738,-126.62151765172354,-2.176517651706831,42.60059271888127,9.806591699464192
8.309,-124.09951999999919,-86.75118964249613,-86.56372935216669,-126.50391241281642,-2.4043924128172307,42.383643071354776,9.806569360382866
8.41,-124.14809999999699,-86.72653363548626,-86.6307024300997,-126.57088549074945,-2.42278549075246,42.661554120777176,9.806621703726519
8.509,-124.39820999999756,-86.26638557179602,-86.14168240214516,-126.0818654627949,-1.6836554627973328,43.16611286646042,9.806540334389085
8.61,-124.7769000000273,-86.55778471410262,-86.41746979683418,-126.35765285748391,-1.5807528574566163,42.646446510817285,9.806546072394704
8.709,-124.35524999999473,-86.30023253620755,-86.04670503886611,-125.98688809951585,-1.6316380995211262,42.68283144309899,9.806571174982619
8.81,-124.43720000000883,-87.51044707800085,-87.62923747275028,-127.5694205334,-3.132220533391177,42.211194012962956,9.806582739160467
8.91,-124.23929999998848,-86.5254688460545,-86.45982237795563,-126.40000543860538,-2.160705438616901,42.6005539870082,9.806613293589178
9.009,-124.99206000000243,-86.19631550220575,-86.36483860758243,-126.30502166823217,-1.3129616682297467,42.68586768475018,9.806604046763589
9.11,-124.6277999999661,-85.94350309190509,-85.93166469908255,-125.87184775973228,-1.2440477597661754,42.79032133555438,9.806530310971358
9.21,-125.10700000002493,-86.50096352496395,-86.573216144468,-126.51339920511774,-1.4063992050928107,42.993215743882196,9.8065540639921
9.31,-124.55940000000459,-86.6416669738677,-86.7187677477751,-126.65895080842483,-2.099550808420247,42.376889928356,9.806614625343446
9.409,-124.44761999999446,-87.18839576130148,-87.15507326817583,-127.09525632882557,-2.647636328831112,43.17159482808111,9.806606145349164
9.51,-124.78170000000273,-86.98721249581666,-87.16024775036591,-127.10043081101566,-2.3187308110129266,42.39914503855001,9.806574686912857
9.61,-124.45269999995026,-86.20321104568754,-86.14462490874824,-126.08480796939799,-1.6321079694477305,42.46119404821301,9.80651919388322
9.709,-125.19943000002002,-86.7754773934801,-86.83923164758042,-126.77941470823015,-1.5799847082101337,42.38177556450413,9.806611344394147
9.81,-124.72000000001356,-85.90581114056887,-85.89394688402444,-125.83412994467417,-1.1141299446606183,42.584937477939306,9.80660155507503
9.909,-124.34829999998976,-86.19631550220575,-86.19868813868348,-126.13887119933321,-1.7905711993434466,41.86767488170319,9.80657977635424
10.01,-125.14989999999415,-85.26709563591832,-85.22210186920735,-125.1622849298571,-0.012384929862946592,43.07811625407963,9.806604623925653
10.11,-125.95980000005568,-86.21692750835935,-86.40776670220703,-126.34794976285676,-0.3881497628010777,42.12616882651447,9.806605017028064
10.21,-125.06300000000545,-86.01028799541137,-86.00512564250305,-125.94530870315279,-0.8823087031473449,42.32414204682713,9.806510218217284
10.309,-124.68023000008208,-85.80296061535392,-85.6244549729092,-125.56463803355894,-0.8844080334768591,42.513768358027264,9.806589381125326
10.41,-122.1770999999759,-86.3554017950463,-86.01788328639205,-125.95806634704178,-3.7809663470658847,42.683065728693855,9.806589819605998
10.509,-123.90248999999608,-86.1506732268234,-86.16568231541876,-126.1058653760685,-2.2033753760724153,42.84451190059236,9.806601703444471
10.609,-124.68634999994225,-86.60374434210925,-86.57256780164047,-126.5127508622902,-1.8264008623479526,41.813869708507006,9.806622553152538
10.71,-125.60330000000283,-86.00307058604189,-85.6676648614798,-125.60784792212954,-0.004547922126704407,42.04847321841781,9.806592615684615
10.809,-125.4758600000207,-86.8841171012953,-86.82308078028399,-126.76326384093372,-1.287403840913015,42.51955079725091,9.806637926425141
10.91,-124.90469999998584,-86.53804984528024,-86.50453477685544,-126.44471783750518,-1.5400178375193434,42.186970737420815,9.806626686073045
11.01,-125.85080000000136,-85.91060256813269,-86.01200022988287,-125.95218329053262,-0.10138329053125972,42.169564854287984,9.806555918873862
11.11,-125.622600000011,-86.60995196514142,-86.50834999627045,-126.44853305692018,-0.8259330569091787,42.05403904501921,9.806540895239259
11.21,-125.44030000000328,-86.1217667511593,-86.34049016426974,-126.28067322491947,-0.8403732249161919,42.56844136211707,9.80660820518491
11.31,-125.42149999998605,-87.04057078501157,-86.81616730505418,-126.75635036570392,-1.3348503657178696,42.07809168676735,9.80661949195542
11.41,-125.81660000000778,-85.51265561188276,-85.312813143332,-125.25299620398172,0.563603796026058,42.06770257572904,9.806591538857933
11.509,-125.34391999999639,-85.40030466198473,-85.50065148555395,-125.44083454620369,-0.09691454620730156,42.04484629535468,9.80659049058336
11.61,-125.9942999999862,-87.33204274444388,-87.44309537654986,-127.3832784371996,-1.3889784372134102,41.563308338004084,9.80662797958605
11.709,-126.17043000002002,-85.9800424771959,-85.91831245793637,-125.8584955185861,0.3119344814339229,42.3666130343222,9.806612636889456
11.81,-125.80009999998339,-86.15911276194548,-86.11610876354668,-126.05629182419642,-0.2561918242130332,42.046808440118255,9.806655291688394
11.91,-126.32190000000253,-85.33782392161413,-85.24237213087815,-125.18255519152788,1.1393448084746467,41.747859825385056,9.806593521197867
12.01,-126.14800000000014,-85.6267612213504,-85.38124627809995,-125.32142933874968,0.8265706612504573,42.03691472979433,9.806594859583013
12.109,-126.14988999998741,-86.03968816954162,-86.0809292643263,-126.02111232497603,0.12877767501137782,41.64368019279756,9.806638375100817
12.21,-126.30740000001845,-85.53284093861072,-85.3538076443741,-125.29399070502384,1.0134092949946023,41.42663515179576,9.80657617621971
12.31,-125.95039999999017,-86.37318090723987,-86.229978915144,-126.17016197579375,-0.21976197580357848,41.90940228636052,9.806646749016709
12.41,-126.22770000000537,-85.63147486414704,-85.81079762704526,-125.750980687695,0.47671931231036524,41.376724133261206,9.806620808922919
12.51,-125.92799999999579,-85.48932146884773,-85.24737776506183,-125.18756082571156,0.7404391742842336,40.752375390889796,9.806612163739322
12.61,-126.53890000002104,-86.55062843575874,-86.47905955604185,-126.41924261669158,0.11965738332946785,40.848091754695226,9.806593358042333
12.71,-126.16300000001775,-85.83129430860185,-85.9396707716885,-125.87985383233823,0.2831461676795186,39.824904268560395,9.806580870517513
12.81,-125.76730000000487,-86.02077947573883,-86.09029159816811,-126.03047465881784,-0.26317465881297153,40.02620891366056,9.806610691263318
12.909,-125.68962999998803,-86.11359509473824,-85.86756819577772,-125.80775125642745,-0.11812125643942295,38.875566876895824,9.80657781389614
13.01,-126.46900000000267,-85.16578518840595,-85.665811356944,-125.60599441759373,0.8630055824089311,38.91760141632575,9.806611305134918
13.11,-126.09909999997501,-85.45498296223757,-85.52430463756002,-125.46448769820975,0.6346123017652587,39.23812559233685,9.806639394308327
13.21,-126.45500000001732,-84.4250446746449,-84.31132882111427,-124.251511881764,2.2034881182533184,39.82,9.80659428955843
13.31,-126.08220000000108,-86.55421484802054,-86.71720277674886,-126.6573858373986,-0.5751858373975267,40.239729124336804,9.806643459410564
13.41,-126.139499999988,-84.83781789151297,-84.95721782579903,-124.89740088644876,1.2420991135392399,40.2891871350118,9.806640615929595
13.509,-126.90720000000323,-86.86033985217973,-86.90599933852391,-126.84618239917364,0.06101760082958663,40.51141444087086,9.806623517296869
13.61,-126.44969999993941,-87.19767389966184,-87.35644777206704,-127.29663083271677,-0.8469308327773604,41.637639222222965,9.806554884361786
13.71,-127.4088000000005,-86.03051530782496,-86.17497916152676,-126.11516222217651,1.2936377778239887,41.22988357975317,9.806623951697139
13.809,-127.4322899999894,-87.573068729819,-86.9896745639385,-126.92985762458824,0.5024323754011562,41.96583848798925,9.806573261848403
13.91,-127.8423999999917,-86.95891197446647,-87.27330648977731,-127.21348955042706,0.6289104495646427,42.43185360080325,9.80655211835434
14.01,-128.47649999999635,-87.35745470593528,-87.16697931965767,-127.10716238030741,1.3693376196889346,42.04351198460947,9.806587723056374
14.11,-129.0683999999884,-87.27285780127285,-86.85325890479852,-126.79344196544827,2.274958034540134,42.5116419348865,9.806586067536449
14.21,-129.29519999998178,-86.87849542029615,-86.92956376084756,-126.8697468214973,2.4254531784844744,42.90558355272656,9.806632519371774
14.31,-129.75599999998008,-86.53804984528024,-86.39648922817638,-126.33667228882612,3.4193277111539544,42.611497274796626,9.80665797405008
14.41,-130.51369999998565,-85.59319095647525,-85.65143813695656,-125.59162119760629,4.92207880237936,42.52373454907271,9.806559595495251
14.509,-131.53519999999799,-86.64773702315672,-86.66805062970427,-126.60823369035401,4.926966309643973,42.69932552160514,9.806531763574725
14.611,-131.99440999994158,-86.3554017950463,-86.12706964086686,-126.0672527015166,5.927157298424987,42.99458221683285,9.806537028941461
14.71,-133.05799999993837,-86.72653363548626,-86.89114546768309,-126.83132852833282,6.226671471605556,42.6997353621776,9.806580836356778
14.81,-134.41229999998887,-85.89843501185379,-86.00656748901122,-125.94675054966095,8.465549450327927,43.25109709591191,9.806626105343264
14.91,-134.8686999999877,-86.59021628394824,-86.55488446062137,-126.4950675212711,8.373632478716615,42.14585744767806,9.806521747286343
15.01,-135.8817999999901,-86.90732465022205,-86.93386077777838,-126.87404383842812,9.007756161561986,43.259244098805056,9.80660984081655
15.11,-137.49869999994962,-86.87191112556033,-87.07453464634453,-127.01471770699428,10.483982292955346,43.048392536771914,9.806606015334765
15.21,-138.44019999993958,-85.93626204350316,-85.79057950368328,-125.73076256433302,12.70943743560656,43.56577670603383,9.806551737996388
15.31,-139.92379999994614,-87.2885645867668,-87.29438335230631,-127.23456641295604,12.689233586990099,42.544231101290336,9.806646674067542
15.41,-141.70019999999693,-86.78796421457763,-86.53650388021326,-126.476686940863,15.223513059133921,43.42047903927362,9.806592799744466
15.51,-142.1069999999885,-86.13786513156224,-86.32745416380138,-126.26763722445111,15.839362775537381,42.58403104451245,9.806628343115692
15.61,-143.95969999995987,-86.02583678791231,-85.87059379857399,-125.81077685922372,18.148923140736144,43.013889617192255,9.806554761994652
15.71,-144.70369999995455,-86.62946076457303,-86.60112651289208,-126.54130957354181,18.162390426412742,42.87740197353379,9.806536468091066
